Num_cities,Gurobi_Distance,Gurobi_Runtime,Gurobi_MipGap,Gurobi_Status,CBC_Distance,CBC_Runtime,CBC_MipGap,CBC_Status
10,6177.496777,1.112483,0,Optimal,6177.496777,20.859224,0,Optimal
20,7962.079019,39.175006,0,Optimal,7962.079019,600.15408,,maxTimeLimit
30,10320.29223,601.338432,,maxTimeLimit,11395.39553,598.729461,,maxTimeLimit
40,11237.46586,602.420976,,maxTimeLimit,12381.03035,594.700142,,maxTimeLimit
50,12094.07465,603.465666,3.5,maxTimeLimit,14576.90003,594.57181,,maxTimeLimit
70,13498.50694,601.31466,6.15,maxTimeLimit,17035.33765,600.973647,,maxTimeLimit
100,15655.23204,601.149643,6.07,maxTimeLimit,19936.6933,601.515423,,maxTimeLimit
200,22282.29118,603.269681,11.01,maxTimeLimit,16535.97713,606.279462,,intermediateNonInteger
500,55004.38907,1266.588248,48.7,maxTimeLimit,,,,
750,224696.614,1273.714599,84.2,maxTimeLimit,,,,
1000,229537.6679,1385.326561,82.593,maxTimeLimit,,,,
